global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
32,200,2.0,2200,220.0,17200,642.5,1208.5,12850,2200,22.0,2600,260.0,17200,272.5,898.5,5450,0,0.0,2200,220.0,17200,772.5,1336.5,15450,1900,19.0,2900,290.0,17200,312.5,965.5,6250,2900,29.0,3000,300.0,17200,522.5,1195.5,10450,400,4.0,2300,230.0,17200,817.5,1395.5,16350,1600,16.0,2600,260.0,17200,290.0,910.0,5800
33,200,2.0,2900,290.0,22500,1232.5,1974.5,24650,1700,17.0,3800,380.0,22500,545.0,1392.0,10900,0,0.0,2900,290.0,22500,1467.5,2207.5,29350,700,7.0,3200,320.0,22500,637.5,1414.5,12750,2700,27.0,3900,390.0,22500,872.5,1739.5,17450,500,5.0,2900,290.0,22500,1567.5,2312.5,31350,900,9.0,3400,340.0,22500,507.5,1306.5,10150
34,100,1.0,3000,300.0,22300,1172.5,1919.5,23450,1300,13.0,3400,340.0,22300,510.0,1309.0,10200,0,0.0,2900,290.0,22300,1447.5,2183.5,28950,2100,21.0,3500,350.0,22300,707.5,1524.5,14150,4000,40.0,3600,360.0,22300,832.5,1678.5,16650,500,5.0,2900,290.0,22300,1597.5,2338.5,31950,1200,12.0,3300,330.0,22300,512.5,1300.5,10250
35,300,3.0,2400,240.0,17400,697.5,1288.5,13950,1300,13.0,2800,280.0,17400,310.0,951.0,6200,100,1.0,2300,230.0,17400,852.5,1431.5,17050,1700,17.0,2700,270.0,17400,417.5,1052.5,8350,3300,33.0,3300,330.0,17400,677.5,1388.5,13550,0,0.0,2300,230.0,17400,917.5,1495.5,18350,700,7.0,2800,280.0,17400,340.0,975.0,6800
36,200,2.0,2900,290.0,20900,1157.5,1867.5,23150,1700,17.0,3300,330.0,20900,475.0,1240.0,9500,0,0.0,2700,270.0,20900,1307.5,1995.5,26150,2300,23.0,3600,360.0,20900,642.5,1443.5,12850,2800,28.0,3300,330.0,20900,792.5,1568.5,15850,300,3.0,2700,270.0,20900,1377.5,2068.5,27550,1500,15.0,3100,310.0,20900,467.5,1210.5,9350
37,0,0.0,2900,290.0,21500,1092.5,1812.5,21850,1500,15.0,3900,390.0,21500,642.5,1477.5,12850,200,2.0,3000,300.0,21500,1357.5,2089.5,27150,1200,12.0,3700,370.0,21500,602.5,1414.5,12050,3100,31.0,3900,390.0,21500,797.5,1648.5,15950,100,1.0,2800,280.0,21500,1387.5,2098.5,27750,1300,13.0,3600,360.0,21500,467.5,1270.5,9350
38,100,1.0,2600,260.0,18900,732.5,1371.5,14650,700,7.0,2900,290.0,18900,292.5,967.5,5850,0,0.0,2600,260.0,18900,962.5,1600.5,19250,1400,14.0,3100,310.0,18900,387.5,1089.5,7750,2500,25.0,3300,330.0,18900,617.5,1350.5,12350,500,5.0,2500,250.0,18900,1052.5,1685.5,21050,800,8.0,2900,290.0,18900,332.5,1008.5,6650
39,0,0.0,2700,270.0,20800,977.5,1663.5,19550,1000,10.0,3000,300.0,20800,410.0,1136.0,8200,0,0.0,2700,270.0,20800,1197.5,1883.5,23950,1200,12.0,3100,310.0,20800,422.5,1160.5,8450,3600,36.0,3400,340.0,20800,605.0,1397.0,12100,500,5.0,2800,280.0,20800,1327.5,2028.5,26550,500,5.0,3000,300.0,20800,410.0,1131.0,8200
40,100,1.0,2600,260.0,20100,922.5,1585.5,18450,1600,16.0,3100,310.0,20100,367.5,1095.5,7350,0,0.0,2600,260.0,20100,1132.5,1794.5,22650,1500,15.0,3100,310.0,20100,397.5,1124.5,7950,2900,29.0,3300,330.0,20100,732.5,1493.5,14650,400,4.0,2600,260.0,20100,1172.5,1838.5,23450,1900,19.0,3100,310.0,20100,392.5,1123.5,7850
41,100,1.0,2800,280.0,21700,1062.5,1777.5,21250,1800,18.0,3700,370.0,21700,552.5,1374.5,11050,0,0.0,2800,280.0,21700,1382.5,2096.5,27650,2000,20.0,3300,330.0,21700,552.5,1336.5,11050,5300,53.0,3800,380.0,21700,952.5,1819.5,19050,500,5.0,2900,290.0,21700,1402.5,2131.5,28050,2500,25.0,3300,330.0,21700,442.5,1231.5,8850
