time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,eval/std_reward,eval/mean_reward,eval/mean_ep_length
458,41.814615480000015,2443,58.6,547,1120256,,,,,,,,,,,,,
458,41.523585010000005,2447,59.4,548,1122304,5470,0.221142578125,-0.020840636889624876,0.3750498212990351,-1.4544915523380042,0.9884616555646062,0.1,0.009129286,0.03688351809978485,3e-05,,,
458,42.4808961,2452,59.23,549,1124352,5480,0.22861328125,-0.0208502609108109,0.32529515731148423,-1.4658122062683105,0.9908504355698824,0.1,0.010443718,0.047410085797309875,3e-05,,,
458,42.432167419999985,2456,59.24,550,1126400,5490,0.21025390625,-0.020625666694832033,0.4049236843013205,-1.4761340834200383,0.9861518135294318,0.1,0.009268036,0.07480961829423904,3e-05,,,
458,42.4712042,2460,59.38,551,1128448,5500,0.196044921875,-0.01867432941653533,0.6017285760259256,-1.4736132305115461,0.9818966258317232,0.1,0.007250715,0.0284372940659523,3e-05,,,
,,,,,1130000,5510,0.238720703125,-0.023698595960013336,0.42554550811182706,-1.5009174097329379,0.9865208305418491,0.1,0.009984922,0.00787496566772461,3e-05,3.2944717119378524,44.9086253517912,54.7
458,42.41329456999999,2465,59.44,552,1130496,,,,,,,,,,,,,
458,42.5986132,2469,59.45,553,1132544,5520,0.244140625,-0.020857787599379663,0.42326902055647225,-1.4531166069209576,0.9871329441666603,0.1,0.009662939,0.00560104101896286,3e-05,,,
458,42.669429709999996,2474,58.32,554,1134592,5530,0.22275390625,-0.022814101437688805,0.44587027254747225,-1.422086201608181,0.9867107598111033,0.1,0.011417091,-0.007895998656749725,3e-05,,,
458,42.24585398,2478,57.68,555,1136640,5540,0.199267578125,-0.02060907450504601,0.38789758819621056,-1.4116105921566486,0.9881469486281276,0.1,0.010235793,0.024361103773117065,3e-05,,,
458,41.509279129999996,2483,58.64,556,1138688,5550,0.217724609375,-0.0226623129521613,0.3567383269313723,-1.4010910715907812,0.9895585468038917,0.1,0.009992837,0.0319739431142807,3e-05,,,
,,,,,1140000,5560,0.228564453125,-0.02226323983995826,0.40177250138949605,-1.4924733728170394,0.9853348881006241,0.1,0.010845034,0.011702340096235275,3e-05,2.8315052430846275,43.67865691413045,62.2
458,41.04739756,2488,59.82,557,1140736,,,,,,,,,,,,,
458,41.62141634,2492,59.84,558,1142784,5570,0.23037109375,-0.02012606818752829,0.3511987256002612,-1.4583276379853487,0.9872916089370847,0.1,0.01087998,0.021525133401155472,3e-05,,,
458,42.46576386000001,2496,59.69,559,1144832,5580,0.2244140625,-0.022096952542779037,0.3137415442150086,-1.4192875877022744,0.9911971017718315,0.1,0.011632389,0.011694349348545074,3e-05,,,
458,43.16165194000001,2500,58.54,560,1146880,5590,0.2099609375,-0.01969509079644922,0.37305585234425964,-1.415120344236493,0.9884419245645404,0.1,0.009432026,0.028720291331410408,3e-05,,,
458,42.96755594999999,2504,58.97,561,1148928,5600,0.239111328125,-0.02322791816550307,0.33230544205289336,-1.4357802905142307,0.9903989546000957,0.1,0.010173727,0.03162125125527382,3e-05,,,
,,,,,1150000,5610,0.213037109375,-0.017863027271232568,0.44974823675584047,-1.4462588746100664,0.9863704359158874,0.1,0.009101528,0.020544830709695816,3e-05,3.6265053824019304,43.05307276847672,57.8
458,42.74683692999999,2509,59.21,562,1150976,,,,,,,,,,,,,
458,42.933922710000004,2513,58.92,563,1153024,5620,0.2373046875,-0.021937729659839533,0.33306648801080885,-1.4359202448278665,0.9908931814134121,0.1,0.011172272,0.016003847122192383,3e-05,,,
458,43.04663396000001,2517,57.91,564,1155072,5630,0.23974609375,-0.020259446873387786,0.3757330913795158,-1.4434561289846897,0.9899494517594576,0.1,0.010767725,0.02481708489358425,3e-05,,,
458,43.07260628000001,2522,56.79,565,1157120,5640,0.244287109375,-0.02106006105459528,0.32973823077045383,-1.4265746720135213,0.9904519114643335,0.1,0.012437383,0.018390754237771034,3e-05,,,
458,42.330824699999994,2526,57.58,566,1159168,5650,0.201123046875,-0.020135753940121504,0.3936342860106379,-1.420036094635725,0.9870580388233066,0.1,0.008815374,0.019546283408999443,3e-05,,,
,,,,,1160000,5660,0.217041015625,-0.02015397878276417,0.3764857867732644,-1.4388487529009582,0.98874288238585,0.1,0.010045583,0.021473031491041183,3e-05,8.074918052103678,38.61564184526058,59.6
458,42.28780561000001,2531,57.7,567,1161216,,,,,,,,,,,,,
458,42.13559014,2535,58.47,568,1163264,5670,0.217919921875,-0.02153432280611014,0.34745000139810145,-1.4278799347579478,0.9894622806459665,0.1,0.01013208,0.027148939669132233,3e-05,,,
458,42.97165155999999,2540,58.07,569,1165312,5680,0.23466796875,-0.019547209618758644,0.2855797285097651,-1.4378070846199988,0.9911708496510983,0.1,0.012111852,0.010240308940410614,3e-05,,,
458,42.60635825,2544,58.95,570,1167360,5690,0.22001953125,-0.020520814252085982,0.3684778022696264,-1.4245701752603055,0.9907175591215491,0.1,0.010444859,0.0716937854886055,3e-05,,,
458,42.653287389999996,2548,58.2,571,1169408,5700,0.236865234375,-0.023123921800288372,0.34363757448736576,-1.4597096368670464,0.988801134750247,0.1,0.011692384,0.010391585528850555,3e-05,,,
,,,,,1170000,5710,0.22080078125,-0.0210086327031604,0.3432882001856342,-1.4300423581153154,0.9903862625360489,0.1,0.010458848,0.023724909871816635,3e-05,4.9470115358675235,43.56623088346272,58.8
458,42.754483969999995,2554,58.24,572,1171456,,,,,,,,,,,,,
458,42.94003544,2558,57.87,573,1173504,5720,0.21259765625,-0.01964434239489492,0.32577232421608643,-1.4348224975168704,0.9913281155750155,0.1,0.008942133,0.038468193262815475,3e-05,,,
458,43.180101240000006,2562,58.37,574,1175552,5730,0.224755859375,-0.021437658759532498,0.3760112829040736,-1.4393758986145258,0.9889939101412892,0.1,0.011475318,0.02602352201938629,3e-05,,,
458,43.03386959,2567,58.56,575,1177600,5740,0.226318359375,-0.0211439860646351,0.36632381585659457,-1.4153251230716706,0.9881860623136163,0.1,0.011176962,0.010852955281734467,3e-05,,,
458,43.41414878000001,2571,58.58,576,1179648,5750,0.229296875,-0.02100103139782732,0.3764774270122871,-1.4504854030907155,0.9903034912422299,0.1,0.010430325,0.021874981001019478,3e-05,,,
,,,,,1180000,5760,0.237353515625,-0.022636356664588676,0.336742102378048,-1.4317900877445937,0.9910706030204892,0.1,0.00963325,0.03506796434521675,3e-05,3.785695115514046,44.05028107136175,56.4
458,42.95647814,2576,58.86,577,1181696,,,,,,,,,,,,,
458,42.86863811000001,2580,58.76,578,1183744,5770,0.226953125,-0.022827889941981993,0.35265560520347206,-1.4427025649696588,0.9892369471490383,0.1,0.010538642,0.016478795558214188,3e-05,,,
