time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,eval/mean_ep_length,eval/mean_reward
450560,100.71,-2.6509389199999998,110,470,958,0.9523724131286144,0.031164493,0.2,-0.041169641186570516,-0.0779816061258316,-2.3639500577002766,0.309521484375,1090,0.0003,0.003351690745785163,,
454656,99.74,-2.5612035300000002,111,474,957,0.9425037540495396,0.027654113,0.2,-0.042086715238474424,-0.07462243735790253,-2.3801032423973085,0.3045166015625,1100,0.0003,0.0034278503612767963,,
458752,99.5,-2.49656162,112,478,957,0.9386569485068321,0.029020991,0.2,-0.03246695604502747,-0.0631905049085617,-2.3811378203332425,0.3194580078125,1110,0.0003,0.003403913695092342,,
460000,,,,,,0.9509391523897648,0.03130127,0.2,-0.035124670079676436,-0.03486207127571106,-2.334101753309369,0.30224609375,1120,0.0003,0.003438525454021146,93.8,-1.6859237999999999
462848,99.95,-2.5019298,113,483,956,,,,,,,,,,,,
466944,101.28,-2.5171305000000004,114,487,956,0.9626085348427296,0.030956984,0.2,-0.03849187054220238,-0.06898373365402222,-2.3472421266138555,0.31337890625,1130,0.0003,0.003309792693107738,,
471040,101.75,-2.53558547,115,492,956,0.9399610161781311,0.033694312,0.2,-0.03825938097288599,-0.05760379135608673,-2.3438355341553687,0.328955078125,1140,0.0003,0.004026461571811524,,
475136,102.14,-2.5543515300000004,116,496,956,0.9520748555660248,0.030562215,0.2,-0.04029309070756426,-0.07253021001815796,-2.345894256979227,0.30146484375,1150,0.0003,0.00336814258571394,,
479232,102.2,-2.59627544,117,500,957,0.9484173059463501,0.030076351,0.2,-0.04252444200537866,-0.07910043001174927,-2.347215914353728,0.306494140625,1160,0.0003,0.003471998479199101,,
480000,,,,,,0.9532869718968868,0.029173413,0.2,-0.038141339196226906,-0.06622885167598724,-2.335000592470169,0.3076416015625,1170,0.0003,0.0040217229442532695,102.2,-2.330085
483328,102.33,-2.61453937,118,505,955,,,,,,,,,,,,
487424,101.16,-2.58249387,119,509,956,0.956111516803503,0.031720016,0.2,-0.03879246896976838,-0.08158925175666809,-2.261478429660201,0.30556640625,1180,0.0003,0.0038515255402671754,,
491520,100.65,-2.49806782,120,514,956,0.9571272321045399,0.032703914,0.2,-0.03807025883870665,-0.025139128789305687,-2.2604771722108126,0.304833984375,1190,0.0003,0.002825522252533119,,
495616,100.22,-2.45152529,121,518,955,0.9606303423643112,0.028047798,0.2,-0.0352214239688692,-0.04595554992556572,-2.195386614277959,0.2962158203125,1200,0.0003,0.0033509329095068098,,
499712,99.24,-2.4127883300000006,122,523,955,0.9493303075432777,0.03000185,0.2,-0.03743166842541541,-0.04996064677834511,-2.2191400844603777,0.285888671875,1210,0.0003,0.004244598610785033,,
500000,,,,,,0.9409340359270573,0.034466542,0.2,-0.03455565594995278,-0.017592817544937134,-2.2011847661808135,0.3127685546875,1220,0.0003,0.005180210201160662,85.8,-1.2820484
503808,99.72,-2.4276923900000003,123,527,954,,,,,,,,,,,,
507904,100.22,-2.4178835499999995,124,532,954,0.9437424056231976,0.030410597,0.2,-0.035784271801821886,-0.07001614570617676,-2.1380600055679677,0.3103515625,1230,0.0003,0.0044095128749177094,,
512000,101.55,-2.4948728499999997,125,535,955,0.9628939107060432,0.02981083,0.2,-0.03242013527196832,-0.019622592255473137,-2.053961207717657,0.2901611328125,1240,0.0003,0.0033730838493283956,,
516096,100.8,-2.41953283,126,539,955,0.9435617439448833,0.032596722,0.2,-0.034604731678700776,-0.05840576812624931,-2.057568576745689,0.2973388671875,1250,0.0003,0.004219994548930117,,
520000,,,,,,0.9258196651935577,0.02934599,0.2,-0.028593710539644233,-0.0492139607667923,-2.0883420534431933,0.2841552734375,1260,0.0003,0.004348009762907168,98.2,-2.0658998
520192,101.47,-2.43630753,127,544,955,,,,,,,,,,,,
524288,101.47,-2.37773041,128,548,955,0.960287481546402,0.032229125,0.2,-0.03676845749942004,-0.055645763874053955,-2.0999024966731668,0.30859375,1270,0.0003,0.0032196904400734637,,
528384,101.95,-2.39986018,129,552,955,0.9479800909757614,0.028253503,0.2,-0.03331023042810557,-0.015220152214169502,-2.091534969210625,0.281396484375,1280,0.0003,0.002891997776077915,,
532480,102.15,-2.37932064,130,556,956,0.9549984708428383,0.030962056,0.2,-0.03336438867881952,-0.06975529342889786,-1.999391738511622,0.297314453125,1290,0.0003,0.0025683308785119153,,
536576,101.88,-2.36294192,131,560,957,0.9439306259155273,0.028509365,0.2,-0.02972095575023559,-0.043660033494234085,-1.996404942125082,0.28798828125,1300,0.0003,0.0035275510937935904,,
540000,,,,,,0.9471149183809757,0.026145808,0.2,-0.029034571631564178,-0.05986073240637779,-1.9765169525519013,0.2705078125,1310,0.0003,0.004186196127466246,90.6,-1.8858182
540672,101.22,-2.3515299599999997,132,564,957,,,,,,,,,,,,
544768,101.99,-2.36346253,133,568,958,0.9546401612460613,0.028647698,0.2,-0.031928798377339265,-0.025526855140924454,-1.949301989749074,0.2842529296875,1320,0.0003,0.0035333329019522353,,
548864,101.92,-2.40511637,134,572,959,0.9657625965774059,0.029321687,0.2,-0.03223196332255611,-0.07275432348251343,-2.0159295696765183,0.288720703125,1330,0.0003,0.0027796923162895838,,
