time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/clip_fraction,train/value_loss,eval/mean_ep_length,eval/mean_reward
3197,327,22.084848309999998,1339392,418,92.33,3e-05,3260,-2.4797249361872673,-0.019011958640476223,0.0040966896,0.56271875,1.5972026586532593,0.1,0.1610107421875,11.022891563177108,,
3206,328,20.981035619999997,1343488,418,92.41,3e-05,3270,-2.5097540855407714,-0.019975727357086727,0.004144227,0.63885796,1.4689946174621582,0.1,0.157275390625,9.106349828839303,,
3216,329,20.745804300000003,1347584,418,93.45,3e-05,3280,-2.489592495560646,-0.018728178817400475,0.0041781976,0.64609253,1.51637864112854,0.1,0.1608642578125,8.586036463081836,,
,,,1351680,,,3e-05,3290,-2.5029963076114656,-0.021279037834028715,0.004391512,0.43398404,1.5729948282241821,0.1,0.198388671875,9.34660763144493,86.8,26.326976203918456
3227,330,19.65826848,1351680,418,93.8,,,,,,,,,,,,
3236,331,19.414827770000002,1355776,418,95.26,3e-05,3300,-2.4945643872022627,-0.018737676570890472,0.00432719,0.5404221,2.2331736087799072,0.1,0.1712158203125,11.797131609916686,,
3246,332,20.319348930000004,1359872,418,95.04,3e-05,3310,-2.511603757739067,-0.019887294006184674,0.0045112837,0.5636097,1.6915807723999023,0.1,0.173876953125,9.276037369668483,,
3256,333,21.51021406,1363968,418,92.33,3e-05,3320,-2.499024970829487,-0.02027394417236792,0.0042256527,0.3192929,1.716726303100586,0.1,0.17255859375,10.125146447122097,,
3266,334,20.50260788,1368064,418,93.3,3e-05,3330,-2.501024942100048,-0.018780075247923377,0.0038226098,0.5631336,2.68375825881958,0.1,0.1605712890625,13.34849800169468,,
3275,335,20.70842209,1372160,418,94.67,3e-05,3340,-2.5011118575930595,-0.01986008915991988,0.0043891342,0.61197484,1.614091396331787,0.1,0.1701171875,10.003544116020203,,
3285,336,19.363171450000003,1376256,418,96.06,3e-05,3350,-2.5094886809587478,-0.019721782620763406,0.0041255904,0.49062526,1.5204932689666748,0.1,0.1784423828125,10.078826603293418,,
3295,337,20.580662469999996,1380352,418,94.0,3e-05,3360,-2.4681408002972605,-0.019447688935906628,0.0040932545,0.45835686,2.1034185886383057,0.1,0.1621337890625,13.503494769334793,,
3305,338,21.404611870000004,1384448,418,92.58,3e-05,3370,-2.480173647403717,-0.01968153834459372,0.0037108036,0.48052073,2.0445187091827393,0.1,0.1619384765625,11.404913686215878,,
3314,339,21.544163179999995,1388544,418,93.72,3e-05,3380,-2.511672203242779,-0.01816549460054375,0.0037918126,0.36286741,2.5584611892700195,0.1,0.1558349609375,13.629406452178955,,
,,,1392640,,,3e-05,3390,-2.485537622869015,-0.01931669855257496,0.003950226,0.21839035,2.278543710708618,0.1,0.1692138671875,12.405586968362332,94.6,22.808010482788085
3325,340,21.161965,1392640,418,93.67,,,,,,,,,,,,
3335,341,22.480818460000002,1396736,418,93.49,3e-05,3400,-2.522033339738846,-0.019883638864848764,0.004123789,0.43411458,2.3261351585388184,0.1,0.1701171875,11.338913124799728,,
