global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
44,0,0.0,1600,160.0,4500,80.0,330.0,1600,400,4.0,1700,170.0,4500,55.0,319.0,1100,0,0.0,1600,160.0,4500,160.0,410.0,3200,300,3.0,1700,170.0,4500,70.0,333.0,1400,700,7.0,1900,190.0,4500,145.0,432.0,2900,0,0.0,1600,160.0,4500,160.0,410.0,3200,200,2.0,1600,160.0,4500,20.0,272.0,400
45,0,0.0,2400,240.0,6100,265.0,627.0,5300,600,6.0,2600,260.0,6100,145.0,533.0,2900,0,0.0,2400,240.0,6100,405.0,767.0,8100,500,5.0,2500,250.0,6100,170.0,547.0,3400,600,6.0,2600,260.0,6100,250.0,638.0,5000,0,0.0,2400,240.0,6100,405.0,767.0,8100,0,0.0,2400,240.0,6100,75.0,437.0,1500
46,0,0.0,1500,150.0,4100,40.0,272.0,800,300,3.0,1600,160.0,4100,25.0,270.0,500,0,0.0,1500,150.0,4100,105.0,337.0,2100,200,2.0,1500,150.0,4100,30.0,264.0,600,800,8.0,1800,180.0,4100,120.0,390.0,2400,0,0.0,1500,150.0,4100,105.0,337.0,2100,300,3.0,1500,150.0,4100,0.0,235.0,0
47,0,0.0,2400,240.0,6600,290.0,662.0,5800,700,7.0,2700,270.0,6600,80.0,489.0,1600,0,0.0,2400,240.0,6600,435.0,807.0,8700,300,3.0,2400,240.0,6600,130.0,505.0,2600,400,4.0,2600,260.0,6600,280.0,676.0,5600,0,0.0,2400,240.0,6600,435.0,807.0,8700,300,3.0,2400,240.0,6600,35.0,410.0,700
48,0,0.0,1600,160.0,4800,115.0,371.0,2300,100,1.0,1700,170.0,4800,55.0,322.0,1100,0,0.0,1600,160.0,4800,185.0,441.0,3700,500,5.0,1900,190.0,4800,75.0,366.0,1500,200,2.0,1800,180.0,4800,100.0,378.0,2000,0,0.0,1600,160.0,4800,185.0,441.0,3700,0,0.0,1600,160.0,4800,30.0,286.0,600
49,200,2.0,2300,230.0,5500,95.0,437.0,1900,400,4.0,2400,240.0,5500,25.0,379.0,500,100,1.0,2300,230.0,5500,255.0,596.0,5100,300,3.0,2400,240.0,5500,65.0,418.0,1300,1000,10.0,2600,260.0,5500,190.0,570.0,3800,200,2.0,2300,230.0,5500,260.0,602.0,5200,100,1.0,2400,240.0,5500,0.0,351.0,0
50,0,0.0,2200,220.0,6400,275.0,623.0,5500,600,6.0,2400,240.0,6400,90.0,464.0,1800,0,0.0,2200,220.0,6400,395.0,743.0,7900,500,5.0,2400,240.0,6400,135.0,508.0,2700,100,1.0,2400,240.0,6400,170.0,539.0,3400,0,0.0,2200,220.0,6400,360.0,708.0,7200,400,4.0,2400,240.0,6400,45.0,417.0,900
51,0,0.0,1800,180.0,5000,95.0,375.0,1900,1100,11.0,2300,230.0,5000,40.0,381.0,800,0,0.0,1800,180.0,5000,195.0,475.0,3900,700,7.0,2100,210.0,5000,80.0,397.0,1600,1100,11.0,2200,220.0,5000,120.0,451.0,2400,0,0.0,1800,180.0,5000,185.0,465.0,3700,600,6.0,1900,190.0,5000,25.0,321.0,500
52,0,0.0,1300,130.0,3700,30.0,234.0,600,0,0.0,1300,130.0,3700,25.0,229.0,500,0,0.0,1300,130.0,3700,85.0,289.0,1700,300,3.0,1400,140.0,3700,25.0,242.0,500,600,6.0,1600,160.0,3700,80.0,320.0,1600,0,0.0,1300,130.0,3700,85.0,289.0,1700,200,2.0,1400,140.0,3700,0.0,216.0,0
53,0,0.0,2400,240.0,6800,330.0,706.0,6600,600,6.0,2600,260.0,6800,145.0,547.0,2900,0,0.0,2400,240.0,6800,480.0,856.0,9600,300,3.0,2500,250.0,6800,170.0,559.0,3400,300,3.0,2600,260.0,6800,250.0,649.0,5000,0,0.0,2400,240.0,6800,480.0,856.0,9600,200,2.0,2400,240.0,6800,75.0,453.0,1500
54,0,0.0,2300,230.0,6200,215.0,569.0,4300,500,5.0,2600,260.0,6200,50.0,439.0,1000,0,0.0,2300,230.0,6200,345.0,699.0,6900,300,3.0,2400,240.0,6200,95.0,462.0,1900,400,4.0,2700,270.0,6200,175.0,573.0,3500,0,0.0,2300,230.0,6200,345.0,699.0,6900,200,2.0,2300,230.0,6200,20.0,376.0,400
55,100,1.0,2900,290.0,6900,185.0,614.0,3700,1000,10.0,3100,310.0,6900,40.0,498.0,800,0,0.0,2900,290.0,6900,375.0,803.0,7500,800,8.0,3100,310.0,6900,95.0,551.0,1900,1700,17.0,3400,340.0,6900,165.0,660.0,3300,500,5.0,2900,290.0,6900,360.0,793.0,7200,500,5.0,2900,290.0,6900,15.0,448.0,300
56,0,0.0,2600,260.0,7100,320.0,722.0,6400,300,3.0,2700,270.0,7100,90.0,505.0,1800,0,0.0,2600,260.0,7100,490.0,892.0,9800,200,2.0,2600,260.0,7100,185.0,589.0,3700,700,7.0,2800,280.0,7100,380.0,809.0,7600,0,0.0,2600,260.0,7100,490.0,892.0,9800,600,6.0,2700,270.0,7100,40.0,458.0,800
57,500,5.0,3000,300.0,7600,285.0,742.0,5700,1200,12.0,3200,320.0,7600,60.0,544.0,1200,0,0.0,3000,300.0,7600,485.0,937.0,9700,800,8.0,3100,310.0,7600,135.0,605.0,2700,1800,18.0,3500,350.0,7600,205.0,725.0,4100,300,3.0,3000,300.0,7600,415.0,870.0,8300,900,9.0,3200,320.0,7600,30.0,511.0,600
